WIC_Job_Location_Snapshot_ID,Job_Title,Original_Job_Title,NOC21_Code,NOC21_Code_Name,First_Posting_Date,Month,Vacancy_Count,Province_Territory,City,Economic_Region,Employment_Type,Employment_Term,Education_LOS,Experience_Level,Salary_Condition_Detail,Salary_Per,Salary_Minimum,Salary_Maximum,Estimated_Annual_Min,Estimated_Annual_Max,Estimated_Annual_Mid,Salary_Valid,NOC21_Code_Clean,Digital Literacy,Numeracy,Problem Solving,Systems Analysis,Critical Thinking,Decision Making,Reading Comprehension,Writing,Troubleshooting,Time Management
15345524,data analyst - informatics and systems,Data Platform Risk and Operations Analyst,21223.0,Database analysts and data administrators,2026-03-21,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$25.00 to $61.03 hourly,Hour,25.0,61.03,52000.0,126942.4,89471.2,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15306614,data scientist,"Sr. Data Engineer, Data Integration and Management",21211.0,Data scientists,2026-03-06,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15330727,data scientist,Not specified,21211.0,Data scientists,2026-03-16,2026-03,1,Ontario,Kitchener,Kitchener–Waterloo–Barrie Region,Full time,Not specified,Not specified,Not specified,"$53,094.34 to $116,898.51 annually",Year,53094.34,116898.51,53094.34,116898.51,84996.42499999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15302642,data scientist,Senior Data Engineer (Tech Delivery Lead),21211.0,Data scientists,2026-03-05,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15319894,data scientist,Data Scientist II,21211.0,Data scientists,2026-03-12,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15345101,big data analyst,Data Analyst,21211.0,Data scientists,2026-03-21,2026-03,1,Ontario,Toronto,Toronto Region,Part time,Not specified,Not specified,Not specified,$20.00 hourly,Hour,20.0,20.0,41600.0,41600.0,41600.0,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15326690,data scientist,Senior Data Engineer,21211.0,Data scientists,2026-03-14,2026-03,1,Ontario,Toronto,Toronto Region,Full time,Permanent employment,Not specified,Not specified,$30.00 to $69.74 hourly,Hour,30.0,69.74,62400.0,145059.19999999998,103729.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15357202,data analyst - informatics and systems,Asset Management Specialist,21223.0,Database analysts and data administrators,2026-03-26,2026-03,1,British Columbia,Victoria,Vancouver Island and Coast Region,Full time,Permanent employment,Not specified,Not specified,$62.26 hourly,Hour,62.26,62.26,129500.8,129500.8,129500.8,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
15357573,big data analyst,Data Analyst,21211.0,Data scientists,2026-03-26,2026-03,1,Ontario,Markham,Toronto Region,Full time,Not specified,Not specified,Not specified,$44.47 hourly,Hour,44.47,44.47,92497.59999999999,92497.59999999999,92497.59999999999,True,21211,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0
15353084,data analyst - informatics and systems,Analyst-developer - Health data integration and infrastructure,21223.0,Database analysts and data administrators,2026-03-25,2026-03,1,New Brunswick,Tracadie,Campbellton–Miramichi Region,Full time,Term or contract,Not specified,Not specified,"$66,924.00 to $93,470.00 annually",Year,66924.0,93470.0,66924.0,93470.0,80197.0,True,21223,4.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,3.0,3.0
